day,pts,rank,team
12,15,13,Marseille
13,15,14,Marseille
14,18,12,Marseille
15,19,12,Marseille
16,22,9,Marseille
17,23,9,Marseille
18,24,9,Marseille
19,25,10,Marseille
20,26,11,Marseille
21,29,8,Marseille
22,30,8,Marseille
23,31,10,Marseille
24,34,8,Marseille
25,34,10,Marseille
26,35,11,Marseille
27,36,11,Marseille
28,37,12,Marseille
29,38,12,Marseille
30,39,13,Marseille
31,39,13,Marseille
32,39,15,Marseille
33,40,14,Marseille
34,40,15,Marseille
35,41,16,Marseille
36,44,14,Marseille
37,47,14,Marseille
38,48,14,Marseille
0,0,9,Montpellier
1,0,15,Montpellier
2,0,20,Montpellier
3,0,20,Montpellier
4,1,19,Montpellier
5,1,19,Montpellier
6,1,19,Montpellier
7,1,20,Montpellier
8,4,18,Montpellier
9,4,18,Montpellier
10,5,18,Montpellier
11,8,17,Montpellier
12,9,17,Montpellier
13,12,17,Montpellier
14,15,15,Montpellier
15,18,13,Montpellier
16,18,16,Montpellier
17,19,17,Montpellier
18,22,13,Montpellier
19,22,16,Montpellier
20,22,16,Montpellier
21,22,17,Montpellier
22,22,18,Montpellier
23,25,17,Montpellier
24,25,18,Montpellier
25,26,18,Montpellier
26,29,17,Montpellier
27,32,15,Montpellier
28,35,14,Montpellier
29,36,15,Montpellier
30,36,15,Montpellier
31,36,16,Montpellier
32,37,16,Montpellier
33,37,16,Montpellier
34,40,16,Montpellier
35,43,15,Montpellier
36,46,12,Montpellier
37,49,11,Montpellier
38,49,12,Montpellier
0,0,10,Rennes
1,0,16,Rennes
2,3,9,Rennes
3,6,7,Rennes
4,9,3,Rennes
5,12,2,Rennes
6,13,2,Rennes
7,14,3,Rennes
8,15,6,Rennes
9,16,4,Rennes
10,16,7,Rennes
11,17,7,Rennes
12,17,10,Rennes
13,20,8,Rennes
14,21,8,Rennes
15,22,8,Rennes
16,22,10,Rennes
17,23,10,Rennes
18,24,10,Rennes
19,27,7,Rennes
20,28,8,Rennes
21,31,6,Rennes
22,34,5,Rennes
23,34,6,Rennes
24,34,9,Rennes
25,35,9,Rennes
26,38,7,Rennes
27,38,8,Rennes
28,41,6,Rennes
29,44,4,Rennes
30,45,5,Rennes
31,48,5,Rennes
32,51,4,Rennes
33,51,5,Rennes
34,51,7,Rennes
35,52,7,Rennes
36,52,7,Rennes
37,52,7,Rennes
38,52,8,Rennes
0,0,11,Monaco
1,3,6,Monaco
2,4,7,Monaco
3,5,8,Monaco
4,5,10,Monaco
5,8,7,Monaco
6,8,10,Monaco
7,11,9,Monaco
8,12,8,Monaco
9,13,12,Monaco
10,14,12,Monaco
11,17,8,Monaco
12,20,6,Monaco
13,20,9,Monaco
14,23,6,Monaco
15,24,6,Monaco
16,25,5,Monaco
17,28,4,Monaco
18,31,3,Monaco
19,32,2,Monaco
20,33,3,Monaco
21,36,2,Monaco
22,39,2,Monaco
23,39,2,Monaco
24,42,2,Monaco
25,45,2,Monaco
26,46,2,Monaco
27,49,2,Monaco
28,50,2,Monaco
29,51,2,Monaco
30,52,2,Monaco
31,55,2,Monaco
32,55,2,Monaco
33,55,2,Monaco
34,58,2,Monaco
35,59,2,Monaco
36,62,2,Monaco
37,62,3,Monaco
38,65,2,Monaco
0,0,12,St Etienne
1,0,17,St Etienne
2,1,13,St Etienne
3,4,9,St Etienne
4,7,7,St Etienne
5,10,4,St Etienne
6,13,3,St Etienne
7,16,2,St Etienne
8,16,2,St Etienne
9,16,5,St Etienne
10,19,4,St Etienne
11,19,5,St Etienne
12,22,3,St Etienne
13,22,5,St Etienne
14,22,7,St Etienne
15,25,4,St Etienne
16,25,6,St Etienne
17,26,5,St Etienne
18,26,5,St Etienne
19,29,5,St Etienne
20,29,6,St Etienne
21,32,5,St Etienne
22,33,7,St Etienne
23,33,7,St Etienne
24,36,6,St Etienne
25,39,3,St Etienne
26,40,3,St Etienne
27,41,3,St Etienne
28,41,7,St Etienne
29,42,7,St Etienne
30,42,8,St Etienne
31,45,7,St Etienne
32,48,6,St Etienne
33,51,6,St Etienne
34,54,4,St Etienne
35,57,4,St Etienne
36,58,4,St Etienne
37,58,5,St Etienne
38,58,6,St Etienne
0,0,13,Bordeaux
1,0,18,Bordeaux
2,1,14,Bordeaux
3,2,15,Bordeaux
4,5,11,Bordeaux
5,6,13,Bordeaux
6,7,15,Bordeaux
7,7,15,Bordeaux
8,10,14,Bordeaux
9,10,14,Bordeaux
10,11,13,Bordeaux
11,14,13,Bordeaux
12,14,14,Bordeaux
13,17,11,Bordeaux
14,18,13,Bordeaux
15,18,14,Bordeaux
16,18,17,Bordeaux
17,21,12,Bordeaux
18,22,14,Bordeaux
19,23,14,Bordeaux
20,26,12,Bordeaux
21,29,9,Bordeaux
22,30,9,Bordeaux
23,33,8,Bordeaux
24,33,10,Bordeaux
25,33,11,Bordeaux
26,36,10,Bordeaux
27,37,10,Bordeaux
28,37,13,Bordeaux
29,38,13,Bordeaux
30,38,14,Bordeaux
31,39,14,Bordeaux
32,42,12,Bordeaux
33,43,12,Bordeaux
34,43,13,Bordeaux
35,44,11,Bordeaux
36,47,11,Bordeaux
37,50,10,Bordeaux
38,50,11,Bordeaux
0,0,14,Lille
1,0,19,Lille
2,1,15,Lille
3,2,16,Lille
4,5,12,Lille
5,6,14,Lille
6,7,16,Lille
7,7,16,Lille
8,7,16,Lille
9,10,15,Lille
10,11,14,Lille
11,11,15,Lille
12,12,16,Lille
13,13,16,Lille
14,14,18,Lille
15,14,18,Lille
16,17,18,Lille
17,20,14,Lille
18,23,12,Lille
19,24,12,Lille
20,25,13,Lille
21,25,15,Lille
22,25,15,Lille
23,26,15,Lille
24,29,14,Lille
25,30,15,Lille
26,31,15,Lille
27,34,14,Lille
28,34,15,Lille
29,37,14,Lille
30,40,9,Lille
31,43,9,Lille
32,46,8,Lille
33,49,7,Lille
34,52,6,Lille
35,53,6,Lille
36,56,6,Lille
37,57,6,Lille
38,60,5,Lille
0,0,15,Paris SG
1,3,7,Paris SG
2,6,3,Paris SG
3,9,1,Paris SG
4,12,1,Paris SG
5,13,1,Paris SG
6,14,1,Paris SG
7,17,1,Paris SG
8,20,1,Paris SG
9,23,1,Paris SG
10,26,1,Paris SG
11,29,1,Paris SG
12,32,1,Paris SG
13,35,1,Paris SG
14,38,1,Paris SG
15,41,1,Paris SG
16,42,1,Paris SG
17,45,1,Paris SG
18,48,1,Paris SG
19,51,1,Paris SG
20,54,1,Paris SG
21,57,1,Paris SG
22,60,1,Paris SG
23,63,1,Paris SG
24,66,1,Paris SG
25,69,1,Paris SG
26,70,1,Paris SG
27,73,1,Paris SG
28,73,1,Paris SG
29,74,1,Paris SG
30,77,1,Paris SG
31,77,1,Paris SG
32,80,1,Paris SG
33,83,1,Paris SG
34,86,1,Paris SG
35,87,1,Paris SG
36,90,1,Paris SG
37,93,1,Paris SG
38,96,1,Paris SG
0,0,16,Troyes
1,1,10,Troyes
2,2,12,Troyes
3,2,17,Troyes
4,3,17,Troyes
5,3,18,Troyes
6,3,18,Troyes
7,3,18,Troyes
8,4,19,Troyes
9,4,19,Troyes
10,4,19,Troyes
11,4,20,Troyes
12,4,20,Troyes
13,4,20,Troyes
14,5,20,Troyes
15,5,20,Troyes
16,5,20,Troyes
17,6,20,Troyes
18,7,20,Troyes
19,8,20,Troyes
20,8,20,Troyes
21,8,20,Troyes
22,11,20,Troyes
23,11,20,Troyes
24,11,20,Troyes
25,11,20,Troyes
26,14,20,Troyes
27,14,20,Troyes
28,14,20,Troyes
29,14,20,Troyes
30,14,20,Troyes
31,14,20,Troyes
32,14,20,Troyes
33,14,20,Troyes
34,17,20,Troyes
35,17,20,Troyes
36,17,20,Troyes
37,17,20,Troyes
38,18,20,Troyes
0,0,17,Lyon
1,1,11,Lyon
2,4,8,Lyon
3,4,10,Lyon
4,7,8,Lyon
5,8,8,Lyon
6,9,8,Lyon
7,12,7,Lyon
8,12,9,Lyon
9,15,7,Lyon
10,16,8,Lyon
11,19,6,Lyon
12,22,4,Lyon
13,25,2,Lyon
14,25,3,Lyon
15,25,5,Lyon
16,26,4,Lyon
17,26,6,Lyon
18,26,6,Lyon
19,26,9,Lyon
20,29,7,Lyon
21,29,10,Lyon
22,30,10,Lyon
23,30,12,Lyon
24,33,11,Lyon
25,36,8,Lyon
26,39,6,Lyon
27,39,7,Lyon
28,42,4,Lyon
29,45,3,Lyon
30,46,4,Lyon
31,49,4,Lyon
32,52,3,Lyon
33,55,3,Lyon
34,56,3,Lyon
35,59,3,Lyon
36,62,3,Lyon
37,65,2,Lyon
38,65,3,Lyon
0,0,18,Nice
1,0,20,Nice
2,1,16,Nice
3,4,11,Nice
4,5,13,Nice
5,5,16,Nice
6,8,11,Nice
7,11,10,Nice
8,14,7,Nice
9,14,9,Nice
10,17,5,Nice
11,17,9,Nice
12,18,8,Nice
13,21,6,Nice
14,24,4,Nice
15,24,7,Nice
16,25,7,Nice
17,25,8,Nice
18,26,7,Nice
19,29,6,Nice
20,30,5,Nice
21,33,4,Nice
22,36,3,Nice
23,36,5,Nice
24,39,3,Nice
25,39,4,Nice
26,40,4,Nice
27,41,4,Nice
28,41,8,Nice
29,44,5,Nice
30,47,3,Nice
31,50,3,Nice
32,50,5,Nice
33,53,4,Nice
34,54,5,Nice
35,57,5,Nice
36,57,5,Nice
37,60,4,Nice
38,63,4,Nice
0,0,19,Toulouse
1,3,8,Toulouse
2,3,10,Toulouse
3,4,12,Toulouse
4,4,14,Toulouse
5,5,17,Toulouse
6,6,17,Toulouse
7,7,17,Toulouse
8,7,17,Toulouse
9,8,17,Toulouse
10,8,17,Toulouse
11,8,18,Toulouse
12,9,18,Toulouse
13,9,19,Toulouse
14,9,19,Toulouse
15,12,19,Toulouse
16,15,19,Toulouse
17,15,19,Toulouse
18,16,19,Toulouse
19,17,19,Toulouse
20,20,19,Toulouse
21,20,19,Toulouse
22,20,19,Toulouse
23,20,19,Toulouse
24,20,19,Toulouse
25,21,19,Toulouse
26,21,19,Toulouse
27,22,19,Toulouse
28,22,19,Toulouse
29,23,19,Toulouse
30,26,19,Toulouse
31,26,19,Toulouse
32,29,19,Toulouse
33,32,19,Toulouse
34,33,19,Toulouse
35,33,19,Toulouse
36,34,19,Toulouse
37,37,17,Toulouse
38,40,17,Toulouse
0,0,20,Gaz. Ajaccio
1,1,12,Gaz. Ajaccio
2,1,17,Gaz. Ajaccio
3,1,18,Gaz. Ajaccio
4,1,20,Gaz. Ajaccio
5,1,20,Gaz. Ajaccio
6,1,20,Gaz. Ajaccio
7,2,19,Gaz. Ajaccio
8,2,20,Gaz. Ajaccio
9,3,20,Gaz. Ajaccio
10,3,20,Gaz. Ajaccio
11,6,19,Gaz. Ajaccio
12,9,19,Gaz. Ajaccio
13,12,18,Gaz. Ajaccio
14,15,16,Gaz. Ajaccio
15,16,16,Gaz. Ajaccio
16,19,14,Gaz. Ajaccio
17,20,15,Gaz. Ajaccio
18,21,16,Gaz. Ajaccio
19,24,13,Gaz. Ajaccio
20,25,14,Gaz. Ajaccio
21,26,13,Gaz. Ajaccio
22,26,13,Gaz. Ajaccio
23,26,16,Gaz. Ajaccio
24,26,17,Gaz. Ajaccio
25,27,17,Gaz. Ajaccio
26,27,18,Gaz. Ajaccio
27,28,18,Gaz. Ajaccio
28,29,18,Gaz. Ajaccio
29,30,18,Gaz. Ajaccio
30,33,18,Gaz. Ajaccio
31,33,18,Gaz. Ajaccio
32,33,18,Gaz. Ajaccio
33,34,18,Gaz. Ajaccio
34,34,18,Gaz. Ajaccio
35,37,17,Gaz. Ajaccio
36,37,17,Gaz. Ajaccio
37,37,18,Gaz. Ajaccio
38,37,19,Gaz. Ajaccio
